codigo_municipio,departamento,municipio,poblacion,hogares,pct_hogar_rural,pct_hogar_indigena,NBI
0614,Santa Rosa,Nueva Santa Rosa,40603,9273,62.72,49.66,38
0701,Sololá,Sololá,103514,14799,0,94.66,74
0702,Sololá,San José Chacayá,5667,745,72.89,96.63,23
0703,Sololá,Santa María Visitación,2793,548,31.2,98.19,12
0704,Sololá,Santa Lucía Utatlán,22199,4701,92.94,97.3,18
0705,Sololá,Nahualá,103968,14721,69.15,99.89,52
0706,Sololá,Santa Catarina Ixtahuacán,66514,11509,64.91,99.8,54
0707,Sololá,Santa Clara La Laguna,11030,2112,28.6,98.89,25
0708,Sololá,Concepción,7798,947,38.65,99.82,55
0709,Sololá,San Andrés Semetabaj,15960,2648,71.26,93.03,20
0710,Sololá,Panajachel,17422,3689,7.26,76.52,20
0711,Sololá,Santa Catarina Palopó,5082,741,18.62,99.75,58
0712,Sololá,San Antonio Palopó,16275,3268,48.13,94.83,53
0713,Sololá,San Lucas Tolimán,32840,6402,41.08,93.24,50
0714,Sololá,Santa Cruz La Laguna,8260,1163,67.67,99.52,50
0715,Sololá,San Pablo La Laguna,8308,1730,0,99.86,86
0716,Sololá,San Marcos La Laguna,3105,545,0,97.4,35
0717,Sololá,San Juan La Laguna,14831,2633,31.33,98.99,46
0718,Sololá,San Pedro La Laguna,12989,2632,0,97.38,26
0719,Sololá,Santiago Atitlán,49083,10074,8.97,97.71,55
0801,Totonicapán,Totonicapán,125874,22860,0,97.23,78
0802,Totonicapán,San Cristóbal Totonicapán,45698,7441,63.82,93.31,41
0803,Totonicapán,San Francisco El Alto,71552,10726,33.02,98.88,67
0804,Totonicapán,San Andrés Xecul,32248,5214,40.7,98.93,54
0805,Totonicapán,Momostenango,152629,17439,83.08,98.97,51
0806,Totonicapán,Santa María Chiquimula,60543,8711,70.2,99.79,63
0807,Totonicapán,Santa Lucía la Reforma,26573,3183,94.13,99.72,71
0808,Totonicapán,San Bartolo Aguas Calientes,12948,1956,81.85,98.4,45
0901,Quetzaltenango,Quetzaltenango,217976,42642,0,46.96,23
0902,Quetzaltenango,Salcajá,22861,4716,12.85,37.02,17
0904,Quetzaltenango,San Carlos Sija,38153,6638,84.69,42.17,37
0905,Quetzaltenango,Sibilia,9654,1910,89.63,7.78,18
0906,Quetzaltenango,Cabricán,29657,4385,69.01,82,48
0907,Quetzaltenango,Cajolá,20168,2916,0,95.96,75
0908,Quetzaltenango,San Miguel Siguilá,10356,1475,41.08,95.72,51
0909,Quetzaltenango,San Juan Ostuncalco,63071,10074,58.83,85.75,39
0910,Quetzaltenango,San Mateo,9456,1809,1.82,31.4,13
0911,Quetzaltenango,Concepción Chiquirichapa,22203,3549,41.53,99.1,20
0912,Quetzaltenango,San Martín Sacatepéquez,35832,5898,85.88,90.4,36
0913,Quetzaltenango,Almolonga,18517,3515,20.77,98.75,17
0914,Quetzaltenango,Cantel,50256,9035,15.77,91.64,38
0915,Quetzaltenango,Huitán,15516,2489,64.76,94.07,55
0916,Quetzaltenango,Zunil,16772,3335,23,83.26,18
0917,Quetzaltenango,Colomba Costa Cuca,59018,10103,38.93,2.8,51
0918,Quetzaltenango,San Francisco La Unión,10222,1616,59.1,99.13,52
0919,Quetzaltenango,El Palmar,33110,6103,33.03,67.2,43
0920,Quetzaltenango,Coatepeque,126985,23422,61.66,2.47,31
0922,Quetzaltenango,Flores Costa Cuca,26976,4760,56.74,4.04,49
0923,Quetzaltenango,La Esperanza,26329,5196,9.66,55.16,12
0924,Quetzaltenango,Palestina de Los Altos,21632,3356,86.95,73.84,42
1001,Suchitepéquez,Mazatenango,85811,18322,0,14.41,50
1002,Suchitepéquez,Cuyotenango,40220,7749,73.12,22.89,40
1003,Suchitepéquez,San Francisco Zapotitlán,27152,5311,17.38,5.96,30
